user_id,business_id,stars
94431,56,2
397042,56,1
259145,56,3
412466,56,1
84515,57,4
807744,57,1
797214,57,1
808623,57,1
811734,57,1
366044,57,2
794079,57,2
133751,57,3
195527,57,1
816928,57,1
129001,259,1
155613,259,1
267763,259,3
243281,259,1
266775,259,1
132801,259,1
249054,259,3
40689,259,2
247760,259,1
18867,259,1
404732,260,5
21810,260,1
69318,260,5
417168,260,5
739020,260,3
741131,260,1
223336,260,4
10186,437,4
158601,437,3
2651,437,1
270627,437,1
6507,437,1
66093,437,4
57258,437,2
6494,437,5
377795,437,4
33203,437,1
143527,437,4
2731,437,1
229994,437,4
267124,562,1
201300,562,3
263161,562,5
237374,562,5
46301,562,5
28052,562,5
42280,562,3
237300,562,5
271728,562,1
130097,562,1
266445,562,5
239045,562,2
194342,562,4
420015,730,1
384587,730,1
372903,730,4
185559,730,4
585093,816,5
486879,816,1
251222,816,1
850456,816,5
21005,1128,4
16755,1128,3
29384,1128,3
7794,1128,3
91698,1128,3
1104358,1128,1
7469,1128,4
622674,1128,4
21094,1128,1
133000,1128,2
48863,1128,4
404732,1128,2
149222,1128,4
185954,1128,4
33827,1128,4
595190,1128,3
4597,1128,3
333174,1128,3
180187,1128,2
17255,1128,4
256731,1128,1
111567,1128,3
1076710,1128,4
145159,1128,3
73964,1128,2
145176,1128,2
554520,1128,4
64543,1625,2
33112,1625,5
51677,1625,5
173655,1625,2
639265,1625,2
399279,1625,3
8646,1625,3
136666,1625,3
146506,1625,2
327444,1625,2
16235,1625,3
246256,1625,3
317220,1625,2
213893,1625,3
74005,1625,3
554520,1625,3
75283,1923,4
321931,1923,5
212653,1923,2
402289,1923,4
7469,1923,5
56543,1923,5
49221,1923,2
128532,1923,4
503496,1923,5
173708,1923,5
51010,1923,5
145176,1923,3
366085,1923,5
27490,2103,5
120664,2103,5
431088,2103,2
466274,2103,1
381816,2103,4
113391,2636,4
330400,2636,4
74005,2636,3
252907,2636,3
18505,2636,3
42009,2636,2
175722,2636,4
51589,2636,2
140836,2820,4
943368,2820,5
482967,2820,5
415076,2820,5
908384,2820,5
549247,2820,5
632237,2820,1
922943,2820,5
11166,2820,3
305823,2820,5
478058,2821,1
11599,2821,5
598846,2821,1
982867,2821,1
956329,2821,5
270627,2821,1
864640,2821,1
137886,2821,5
984386,2821,1
953207,2821,5
55134,2990,5
438287,2990,5
468551,2990,1
472279,2990,5
476692,3004,5
30558,3004,3
4914,3004,3
486516,3004,1
269531,3005,4
494814,3005,4
7794,3005,3
968267,3005,1
100023,3005,1
504217,3005,2
30558,3005,4
543251,3005,3
45321,3005,4
366461,3005,3
976607,3005,4
274047,3006,2
270796,3006,5
272403,3006,5
25369,3006,4
60545,3020,5
135138,3020,5
165545,3020,5
136666,3020,4
323287,3020,5
44326,3020,4
352106,3020,5
339731,3020,5
335103,3020,5
343313,3020,1
33112,3020,5
321779,3020,1
4469,3020,5
25531,3020,5
353614,3020,5
343396,3020,5
31564,3020,5
1877,3020,4
39996,3020,5
285747,3020,5
307381,3020,5
74816,3020,5
40689,3020,5
138027,3020,5
324748,3020,5
322670,3020,4
42639,3020,5
318340,3020,5
240433,3020,5
903269,3086,5
315038,3086,1
8646,3086,2
942464,3087,5
574930,3087,5
607051,3087,3
912811,3087,5
21094,3087,3
818347,3087,5
367821,3087,5
939391,3087,5
240778,3087,5
909588,3087,5
945772,3087,5
914929,3087,5
50237,3087,3
936422,3087,5
144122,3087,5
50097,3087,5
911320,3087,1
550771,3087,5
924315,3087,5
217033,3087,1
84970,3087,5
360234,3087,5
1051869,3202,3
139939,3202,3
23368,3202,3
75014,3202,4
123455,3202,5
182907,3202,5
47980,3202,4
214846,3202,2
938245,3202,3
6507,3202,5
182316,3202,1
1035284,3202,4
1040649,3202,4
271329,3202,1
230764,3202,4
54839,3202,2
75512,3202,4
236583,3202,5
46301,3202,2
539968,3202,4
1042129,3202,3
5133,3202,4
503388,3202,2
51677,3202,4
186444,3202,1
111887,3202,2
134,3202,5
4469,3202,3
367216,3202,4
701021,3202,4
1039842,3202,5
243218,3202,3
590253,3202,1
1032957,3202,4
222204,3202,4
1046171,3202,5
94431,3202,3
271795,3202,5
141211,3202,4
256756,3202,4
50996,3202,5
113937,3202,3
52095,3202,4
25042,3202,4
168536,3202,2
344366,3202,5
47315,3202,3
11599,3202,2
418916,3202,4
297299,3202,3
716542,3202,5
186928,3202,5
310406,3202,2
19338,3202,3
64543,3202,1
156871,3202,3
67025,3202,2
168030,3202,4
1041935,3202,1
439796,3202,2
74005,3202,5
64987,3202,2
207267,3202,3
2731,3202,1
401968,3696,4
482712,3696,5
33827,3696,3
158601,3696,3
89060,3804,5
264220,3804,5
256308,3804,5
23368,4221,3
192470,4221,3
113937,4221,3
65391,4227,5
325554,4227,4
245499,4227,4
588519,4227,1
590253,4227,1
124088,4227,4
505015,4228,5
329037,4228,5
186444,4228,5
26638,4228,3
74005,4228,5
161535,4449,4
857191,4449,5
100016,4449,1
158352,4449,4
100023,4449,5
66554,4449,5
40473,4449,5
7469,4449,4
163960,4449,4
41298,4449,1
500213,4449,4
1100037,4449,5
392787,4449,3
326799,4449,3
245703,4449,5
325554,4449,4
1072169,4449,5
299475,4449,4
900575,4449,3
59428,4449,5
328603,4449,4
456097,4449,5
979778,4449,5
586877,4449,4
105646,4449,4
68759,4449,3
882602,4449,4
33827,4449,4
403147,4449,5
67357,4449,1
34051,4449,5
1069298,4449,5
336054,4449,1
154305,4449,5
109413,4449,3
1090192,4449,2
553350,4449,4
37133,4449,2
519399,4449,1
21005,4449,5
268699,4449,5
364458,4449,1
38824,4449,3
675396,4449,5
148238,4449,4
142299,4449,4
1087520,4449,4
993964,4449,5
93805,4449,5
174437,4449,4
1104386,4449,5
1094086,4449,5
371133,4449,2
30558,4449,4
1071808,4449,5
154224,4449,3
121105,4449,2
65742,4449,4
6702,4449,3
82629,4449,2
797608,4449,5
156298,4449,5
1051869,4449,4
87235,4449,4
1098530,4449,1
245553,4449,5
17018,4449,5
